Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw
1312,53310760979891,January,CA,2884.5314,1500.0,40,44,1,,35,2,1,2,6,"Native, Born In US",93,Scientific research and development services (5417),840,Government - State,No,No,Employed-At Work,1.0,True,37.5,3.624340932976365
6074,470190929200386,January,FL,3630.2294,576.92,40,44,1,,29,1,7,0,0,"Foreign Born, Not a US Citizen",59,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,14.422999999999998,2.668824154601373
12874,931212960700158,January,MN,2017.4999,2596.15,40,40,1,,34,1,1,2,5,"Native, Born In US",MN,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,64.90375,4.172905403242624
16401,563855093906996,January,NY,3062.212,2307.69,45,43,8,,32,1,7,0,0,"Native, Born In US",NY,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,51.282000000000004,3.937339813411936
16514,730609982276166,January,NY,3032.3353,2403.0,45,46,1,,42,1,3,0,0,"Native, Born In US",NY,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,53.4,3.977810745966149
16720,62283360991095,January,NY,2981.7844,2884.61,40,44,1,,43,1,1,3,3,"Native, Born In US",NY,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,72.11525,4.27826553371462
17045,940076985379670,January,NY,3567.1985,2884.61,55,42,1,,39,1,1,2,8,"Native, Born In US",NY,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,52.44745454545455,3.959811802596086
20393,499450301230974,January,RI,730.8868,1153.84,40,43,1,,40,2,3,2,10,"Native, Born In US",RI,Insurance carriers and related activities (524),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,28.845999999999997,3.3619713351613183
25878,694420615360675,January,WY,453.9823,680.0,40,43,1,,31,2,1,0,0,"Native, Born In US",83,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,17.0,2.833213344056216
27977,659830557640940,February,CA,2849.7023,850.0,40,42,1,,40,2,1,3,9,"Native, Born In US",93,Aircraft and parts manufacturing (336411 to 336413),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,21.25,3.056356895370426
29518,326669580899006,February,CA,3246.0463,2884.61,50,45,1,,53,1,5,0,0,"Native, Born In US",93,Computer systems design and related services (5415),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,57.6922,4.0551219824004106
34773,196948409095749,February,IL,2999.301,2884.61,50,44,1,,46,1,1,3,10,"Native, Born In US",IL,Insurance carriers and related activities (524),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,57.6922,4.0551219824004106
35253,69071890784895,February,IA,1059.3308,872.0,40,43,1,,33,2,7,0,0,"Native, Born In US",IA,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,21.8,3.0819099697950434
35319,910220214870041,February,IA,1100.263,1384.61,40,44,1,,30,1,7,0,0,"Native, Born In US",IA,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,34.615249999999996,3.544294336406378
42176,85963840980198,February,NJ,2829.1876,807.0,40,42,1,,61,2,1,0,0,"Native, Born In US",NJ,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,20.175,3.0044442141560124
42536,26613460012708,February,NY,3392.918,1442.0,40,43,4,,26,1,7,0,0,"Native, Born In US",NY,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,36.05,3.584906863730958
45520,84684810014302,February,OR,2152.7764,2884.61,50,44,4,,39,1,1,1,1,"Foreign Born, US Cit By Naturalization",92,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,57.6922,4.0551219824004106
48828,972018869449960,February,TX,2995.2506,2307.0,40,44,1,,41,2,5,0,0,"Native, Born In US",74,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,57.675,4.054823804059818
